ai,a,i,
ai1,a,i1,
ai2,a,i2,
ai3,a,i3,
ai4,a,i4,
ei,ɤ,i,
ei1,ɤ,i1,
ei2,ɤ,i2,
ei3,ɤ,i3,
ei4,ɤ,i4,
ɑʊ,ɑ,ʊ,
ɑʊ1,ɑ,ʊ1,
ɑʊ2,ɑ,ʊ2,
ɑʊ3,ɑ,ʊ3,
ɑʊ4,ɑ,ʊ4,
oʊ,ɔ,ʊ,
oʊ1,ɔ,ʊ1,
oʊ2,ɔ,ʊ2,
oʊ3,ɔ,ʊ3,
oʊ4,ɔ,ʊ4,
ia,i,a,
ia1,i,a1,
ia2,i,a2,
ia3,i,a3,
ia4,i,a4,
iɛ,i,ɤ,
iɛ1,i,ɤ1,
iɛ2,i,ɤ2,
iɛ3,i,ɤ3,
iɛ4,i,ɤ4,
wa,w,a,
wa1,w,a1,
wa2,w,a2,
wa3,w,a3,
wa4,w,a4,
wɔ,w,ɔ,
wɔ1,w,ɔ1,
wɔ2,w,ɔ2,
wɔ3,w,ɔ3,
wɔ4,w,ɔ4,
iɑʊ,i,ɑ,ʊ
iɑʊ1,i,ɑ,ʊ1
iɑʊ2,i,ɑ,ʊ2
iɑʊ3,i,ɑ,ʊ3
iɑʊ4,i,ɑ,ʊ4
ioʊ,i,ɔ,ʊ
ioʊ1,i,ɔ,ʊ1
ioʊ2,i,ɔ,ʊ2
ioʊ3,i,ɔ,ʊ3
ioʊ4,i,ɔ,ʊ4
wai,w,a,i
wai1,w,a,i1
wai2,w,a,i2
wai3,w,a,i3
wai4,w,a,i4
wei,w,ɤ,i
wei1,w,ɤ,i1
wei2,w,ɤ,i2
wei3,w,ɤ,i3
wei4,w,ɤ,i4
